sa4,age,sex,education,ingp,unemployment,labour_force
Capital Region,15-19 years,Male,hs_finished,Indigenous,13,66
Capital Region,15-19 years,Male,hs_finished,Non-Indigenous,110,1039
Capital Region,15-19 years,Male,hs_not_finished,Indigenous,31,138
Capital Region,15-19 years,Male,hs_not_finished,Non-Indigenous,262,1958
Capital Region,15-19 years,Female,hs_finished,Indigenous,0,48
Capital Region,15-19 years,Female,hs_finished,Non-Indigenous,98,1267
Capital Region,15-19 years,Female,hs_not_finished,Indigenous,36,105
Capital Region,15-19 years,Female,hs_not_finished,Non-Indigenous,239,1905
Capital Region,20-29 years,Male,hs_finished,Indigenous,32,175
Capital Region,20-29 years,Male,hs_finished,Non-Indigenous,274,5071
Capital Region,20-29 years,Male,hs_not_finished,Indigenous,40,184
Capital Region,20-29 years,Male,hs_not_finished,Non-Indigenous,317,3245
Capital Region,20-29 years,Female,hs_finished,Indigenous,13,181
Capital Region,20-29 years,Female,hs_finished,Non-Indigenous,263,5725
Capital Region,20-29 years,Female,hs_not_finished,Indigenous,37,118
Capital Region,20-29 years,Female,hs_not_finished,Non-Indigenous,188,1695
Capital Region,30-39 years,Male,hs_finished,Indigenous,6,102
Capital Region,30-39 years,Male,hs_finished,Non-Indigenous,169,5710
Capital Region,30-39 years,Male,hs_not_finished,Indigenous,34,163
Capital Region,30-39 years,Male,hs_not_finished,Non-Indigenous,190,3337
Capital Region,30-39 years,Female,hs_finished,Indigenous,5,119
Capital Region,30-39 years,Female,hs_finished,Non-Indigenous,200,6609
Capital Region,30-39 years,Female,hs_not_finished,Indigenous,16,136
Capital Region,30-39 years,Female,hs_not_finished,Non-Indigenous,166,1991
Capital Region,40-49 years,Male,hs_finished,Indigenous,0,80
Capital Region,40-49 years,Male,hs_finished,Non-Indigenous,153,6193
Capital Region,40-49 years,Male,hs_not_finished,Indigenous,21,207
Capital Region,40-49 years,Male,hs_not_finished,Non-Indigenous,236,5173
Capital Region,40-49 years,Female,hs_finished,Indigenous,14,111
Capital Region,40-49 years,Female,hs_finished,Non-Indigenous,152,7195
Capital Region,40-49 years,Female,hs_not_finished,Indigenous,21,175
Capital Region,40-49 years,Female,hs_not_finished,Non-Indigenous,197,4200
Capital Region,50-59 years,Male,hs_finished,Indigenous,0,45
Capital Region,50-59 years,Male,hs_finished,Non-Indigenous,145,4842
Capital Region,50-59 years,Male,hs_not_finished,Indigenous,20,131
Capital Region,50-59 years,Male,hs_not_finished,Non-Indigenous,325,7163
Capital Region,50-59 years,Female,hs_finished,Indigenous,5,62
Capital Region,50-59 years,Female,hs_finished,Non-Indigenous,145,5444
Capital Region,50-59 years,Female,hs_not_finished,Indigenous,0,160
Capital Region,50-59 years,Female,hs_not_finished,Non-Indigenous,207,5862
Capital Region,60-69 years,Male,hs_finished,Indigenous,0,20
Capital Region,60-69 years,Male,hs_finished,Non-Indigenous,120,2805
Capital Region,60-69 years,Male,hs_not_finished,Indigenous,3,56
Capital Region,60-69 years,Male,hs_not_finished,Non-Indigenous,194,3657
Capital Region,60-69 years,Female,hs_finished,Indigenous,6,19
Capital Region,60-69 years,Female,hs_finished,Non-Indigenous,67,2147
Capital Region,60-69 years,Female,hs_not_finished,Indigenous,3,61
Capital Region,60-69 years,Female,hs_not_finished,Non-Indigenous,107,2876
Capital Region,70-79 years,Male,hs_finished,Indigenous,0,0
Capital Region,70-79 years,Male,hs_finished,Non-Indigenous,13,543
