sa4,age,sex,education,ingp,unemployment
Capital Region,15-19 years,Male,hs_finished,Indigenous,11
Capital Region,15-19 years,Male,hs_finished,Non-Indigenous,110
Capital Region,15-19 years,Male,hs_not_finished,Indigenous,28
Capital Region,15-19 years,Male,hs_not_finished,Non-Indigenous,258
Capital Region,15-19 years,Female,hs_finished,Indigenous,5
Capital Region,15-19 years,Female,hs_finished,Non-Indigenous,101
Capital Region,15-19 years,Female,hs_not_finished,Indigenous,33
Capital Region,15-19 years,Female,hs_not_finished,Non-Indigenous,228
Capital Region,20-29 years,Male,hs_finished,Indigenous,31
Capital Region,20-29 years,Male,hs_finished,Non-Indigenous,273
Capital Region,20-29 years,Male,hs_not_finished,Indigenous,32
Capital Region,20-29 years,Male,hs_not_finished,Non-Indigenous,317
Capital Region,20-29 years,Female,hs_finished,Indigenous,19
Capital Region,20-29 years,Female,hs_finished,Non-Indigenous,267
Capital Region,20-29 years,Female,hs_not_finished,Indigenous,34
Capital Region,20-29 years,Female,hs_not_finished,Non-Indigenous,190
Capital Region,30-39 years,Male,hs_finished,Indigenous,8
Capital Region,30-39 years,Male,hs_finished,Non-Indigenous,171
Capital Region,30-39 years,Male,hs_not_finished,Indigenous,31
Capital Region,30-39 years,Male,hs_not_finished,Non-Indigenous,182
Capital Region,30-39 years,Female,hs_finished,Indigenous,3
Capital Region,30-39 years,Female,hs_finished,Non-Indigenous,195
Capital Region,30-39 years,Female,hs_not_finished,Indigenous,20
Capital Region,30-39 years,Female,hs_not_finished,Non-Indigenous,164
Capital Region,40-49 years,Male,hs_finished,Indigenous,5
Capital Region,40-49 years,Male,hs_finished,Non-Indigenous,146
Capital Region,40-49 years,Male,hs_not_finished,Indigenous,24
Capital Region,40-49 years,Male,hs_not_finished,Non-Indigenous,232
Capital Region,40-49 years,Female,hs_finished,Indigenous,14
Capital Region,40-49 years,Female,hs_finished,Non-Indigenous,156
Capital Region,40-49 years,Female,hs_not_finished,Indigenous,17
Capital Region,40-49 years,Female,hs_not_finished,Non-Indigenous,198
Capital Region,50-59 years,Male,hs_finished,Indigenous,0
Capital Region,50-59 years,Male,hs_finished,Non-Indigenous,150
Capital Region,50-59 years,Male,hs_not_finished,Indigenous,15
Capital Region,50-59 years,Male,hs_not_finished,Non-Indigenous,319
Capital Region,50-59 years,Female,hs_finished,Indigenous,7
Capital Region,50-59 years,Female,hs_finished,Non-Indigenous,144
Capital Region,50-59 years,Female,hs_not_finished,Indigenous,12
