Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE10P - Age in Ten Year Groups, SEXP Sex, HSCP Highest Year of School Completed and INGP Indigenous Status by LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

,,,,"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Total",
"SA4 (UR)","AGE10P - Age in Ten Year Groups","SEXP Sex","HSCP Highest Year of School Completed","INGP Indigenous Status",
"Capital Region","15-19 years","Male","Year 12 or equivalent","Non-Indigenous",406,457,56,55,55,1029,
,,,,"Aboriginal",28,21,4,13,0,66,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",4,0,0,0,0,10,
,,,"Year 11 or equivalent","Non-Indigenous",142,373,52,25,33,624,
,,,,"Aboriginal",15,19,3,7,3,45,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",3,3,0,0,0,11,
,,,"Year 10 or equivalent","Non-Indigenous",308,361,52,45,56,829,
,,,,"Aboriginal",19,21,8,9,9,64,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",7,6,0,0,0,10,
,,,"Year 9 or equivalent","Non-Indigenous",31,232,17,14,54,341,
,,,,"Aboriginal",9,8,0,3,0,20,
,,,,"Torres Strait Islander",0,4,0,0,0,3,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,3,0,0,6,6,
,,,"Year 8 or below","Non-Indigenous",9,64,5,6,15,93,
,,,,"Aboriginal",0,3,0,0,0,3,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,0,0,0,0,0,
,,,"Did not go to school","Non-Indigenous",0,0,0,0,0,0,
,,,,"Aboriginal",0,0,0,0,0,0,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,0,0,0,0,0,
,,,"Not stated","Non-Indigenous",16,21,5,5,3,44,
,,,,"Aboriginal",0,0,0,0,0,3,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,0,0,0,0,0,
,,,"Not applicable","Non-Indigenous",0,0,0,0,0,0,
,,,,"Aboriginal",0,0,0,0,0,0,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,0,0,0,0,0,
,,"Female","Year 12 or equivalent","Non-Indigenous",339,750,65,40,58,1255,
,,,,"Aboriginal",7,33,0,0,0,48,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,4,5,0,0,12,
,,,"Year 11 or equivalent","Non-Indigenous",45,546,55,20,41,701,
,,,,"Aboriginal",8,18,7,0,12,38,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",3,6,0,0,3,12,
,,,"Year 10 or equivalent","Non-Indigenous",74,456,49,24,60,664,
,,,,"Aboriginal",11,24,3,13,11,57,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,3,0,0,0,3,
,,,"Year 9 or equivalent","Non-Indigenous",5,291,32,4,65,395,
,,,,"Aboriginal",0,6,6,0,0,10,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,4,0,0,0,4,
,,,"Year 8 or below","Non-Indigenous",0,58,3,0,10,68,
,,,,"Aboriginal",0,0,0,0,0,0,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,0,0,0,0,0,
,,,"Did not go to school","Non-Indigenous",0,0,0,0,0,0,
,,,,"Aboriginal",0,0,0,0,0,0,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,0,0,0,0,0,
,,,"Not stated","Non-Indigenous",8,38,7,4,8,58,
,,,,"Aboriginal",0,0,0,0,0,0,
,,,,"Torres Strait Islander",0,0,0,0,0,0,
,,,,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,
,,,,"Not stated",0,0,0,0,0,0,
,,,"Not applicable","Non-Indigenous",0,0,0,0,0,0,
