station_id,lat,lng
PI_357693.1,-33.963617,115.1248985
D24,-32.74362461,151.9612514
A4261155,-35.67660246,139.2502685
A4261156,-35.51481282,139.0647519
D21,-32.79766496,151.743779
A4261158,-35.42976112,139.2686892
A4261157,-35.43726909,139.0398203
408216A,-37.17323546,143.3774979
418.1,-41.98830556,146.8624722
155.1,-41.84444444,146.5722222
GLR1.GLR1TK01,-42.79,147.22
141012A,-26.779,153.009
145108A,-27.996,153.031
RE931,-38.53766741,143.9448758
GOS.GOSTE11,-42.86691421,147.244582
SB898,-38.76519,143.65217
ODSS_18337_WSLAHD.1,-16.1135755,128.732855
6100236,-33.83152086,115.0750066
A5100500,-30.5849,138.3585
143234A,-27.4286405,152.446012
212211.3,-34.419586,150.675933
212211.1,-34.419586,150.675933
604.1,-41.35722222,146.2644722
228268A,-38.02938666,145.4085073
41010904,-34.8775,146.8376
228265A,-38.3048,145.117
410102,-35.4012,148.2429
416065,-28.5895,150.3622
418051,-29.4145,149.8859
412108,-33.4231,145.9419
219027,-36.4911,149.742
167.1,-42.18647222,146.4787222
407327A,-37.378142,144.239983
410190,-34.767,146.634
298.1,-42.16,145.617
421078,-32.6673,149.1115
410131,-35,148.5989
BARKERSCREEK,-36.966404,144.277525
138121A,-26.710085,152.872818
SAWBAWR.1,-34.68712108,138.8533304
SAWBARS.1,-34.65163501,138.8503435
128,-23.36073701,150.4988748
A4261133,-35.4863,139.1381
422212B,-27.905361,148.649215
130104A,-23.3739,148.84075
410652,-35.18852778,149.0143611
SB511,-38.2199,144.5499
136020A,-24.93,152.25525
416406A,-28.560929,150.867563
410717,-35.44672222,148.8284167
130106A,-23.07616667,149.0330833
130106A,-23.07335,149.035
136210A,-26.304324,151.978619
607040,-34.28433895,116.1546305
136316A,-26.09559,151.433853
RE670,-37.608,144.1848
120299A,-20.74125,147.949
6091772,-34.00770901,115.1873361
A4260602,-34.05394306,141.2571463
6100237,-33.79391076,115.0248722
BUANGOR_STORAGE,-37.321271,143.204945
135008A,-24.8594,152.0716
4222008A,-28.073286,148.754591
120016A,-20.646852,147.13696
136005A,-24.93789164,152.191847
412106,-33.6179,149.1776
228263A,-37.9711,145.388
412107,-33.3,146.380067
