STN_NUM,WMO_NUM,AVIATION_ID,NAME,REGION,STATUS,EQUIP_START,EQUIP_END,LATITUDE,LONGITUDE,STN_HT,BAR_HT,AERO_HT
1006,95214,YWYM,WYNDHAM AERO,WA,OPEN,22/9/2000,,-15.51,128.1503,3.8,4.3,4.3
1007,94102,YTTI,TROUGHTON ISLAND,NT,OPEN,30/6/1991,,-13.7542,126.1485,6,8,8.2
1019,94100,YKAL,KALUMBURU,WA,OPEN,16/9/1998,,-14.2964,126.6453,23,24,29
1020,95101,YTST,TRUSCOTT,NT,OPEN,1/5/2004,,-14.09,126.3867,51,52.5,51
2012,94212,YHLC,HALLS CREEK AIRPORT,WA,OPEN,25/8/1996,,-18.2292,127.6636,422,423.9,410.3
2056,94216,YPKU,KUNUNURRA AERO,WA,OPEN,30/1/1992,,-15.7814,128.71,44,44.4,44.2
2064,94217,YARG,ARGYLE AERODROME,WA,OPEN,1/7/1988,,-16.6381,128.4517,164,165,159
3003,94203,YBRM,BROOME AIRPORT,WA,OPEN,27/7/1995,,-17.9475,122.2353,7.42,9,17.4
3032,95205,YDBY,DERBY AERO,WA,OPEN,13/12/1994,,-17.3706,123.6611,6.2,6.7,7.3
3080,94204,YCIN,CURTIN AERO,WA,OPEN,28/7/1989,,-17.5736,123.8217,77.5,78,91.4
3092,,SEWB,SOUTH EAST WATERBANK,WA,CLOSED,8/1/1996,11/8/1999,-17.8578,122.2725,41,41.5,
3093,94206,YFTZ,FITZROY CROSSING AERO,WA,OPEN,8/8/1997,,-18.1814,125.5619,114.5,115,112.2
3096,95204,WSR,WEST ROEBUCK,WA,OPEN,23/8/1999,,-17.8964,122.3122,32,,
3102,95202,BROO,BROOME NTC AWS,SA,OPEN,26/11/1991,,-18.0008,122.2183,0,1.3,
4019,94200,YMDI,MANDORA,WA,OPEN,5/6/2001,,-19.7419,120.8436,7.5,8,
4032,94312,YPPD,PORT HEDLAND AIRPORT,WA,OPEN,24/11/1994,,-20.3725,118.6317,6.4,8.4,10.1
4083,95307,YPKA,KARRATHA AERO,WA,OPEN,3/8/1993,,-20.7097,116.7742,5.3,5.8,9
4090,94308,YROE,ROEBOURNE AERO,WA,OPEN,6/6/2001,,-20.7594,117.1583,10.7,11.2,10.7
4095,94307,LEGI,LEGENDRE ISLAND,WA,OPEN,17/2/1992,,-20.3583,116.8431,29,29.5,
4100,94310,BEDO,BEDOUT ISLAND,WA,OPEN,10/6/1993,,-19.5886,119.0997,9,9.8,
4104,,,PORT HEDLAND MILOS AWS COMPARISON,WA,CLOSED,10/12/1998,1/10/2001,-20.3736,118.6297,9,,
4106,95317,MARB,MARBLE BAR,WA,OPEN,25/9/2000,,-21.1756,119.7497,182.3,182.8,
5007,94302,YPLM,LEARMONTH AIRPORT,WA,OPEN,29/8/1994,,-22.2406,114.0967,5,5.5,6
5008,94306,YMDZ,MARDIE,WA,OPEN,27/5/2000,,-21.1906,115.9797,11,12,
5017,95305,YOLW,ONSLOW AIRPORT,WA,OPEN,21/11/1997,,-21.6689,115.1092,10.5,11,7
5058,,,BARROW ISLAND,WA,CLOSED,15/5/1992,1/2/2000,-20.8206,115.3931,62,63,
5084,94303,YTHV,THEVENARD ISLAND,WA,OPEN,10/12/1989,,-21.4606,115.0197,5,6,5
5094,95304,YBWX,BARROW ISLAND AIRPORT,WA,OPEN,17/11/1998,,-20.875,115.4056,6.4,6.9,7.9
5096,,,POINT MURAT NAVY PIER,WA,OPEN,12/12/2007,,-21.8167,114.191,6.767,6.9,
6011,94300,YCAR,CARNARVON AIRPORT,WA,OPEN,22/10/1990,,-24.8878,113.67,4,8,4
6072,94318,,EMU CREEK STATION,WA,OPEN,5/12/2000,,-23.0314,115.0414,111,112,
6105,95402,YSHK,SHARK BAY AIRPORT,WA,OPEN,28/5/2000,,-25.8925,113.5772,33.8,34.3,33.8
6108,95301,,CAPE CUVIER WHARF,WA,OPEN,26/11/2008,,-24.2201,113.3975,12.436,,
7045,94430,YMEK,MEEKATHARRA AIRPORT,WA,OPEN,7/2/1991,,-26.6136,118.5372,517,519,522.1
7176,94317,YNWN,NEWMAN AERO,WA,OPEN,16/12/1996,,-23.4169,119.7989,524,524.5,525.5
7185,94316,YPBO,PARABURDOO AERO,WA,OPEN,13/12/1995,,-23.1725,117.7494,423.7,424.2,428.5
7204,,,MEEKATHARRA MILOS AWS COMPARISON,WA,CLOSED,11/12/1998,3/8/2001,-26.6131,118.5367,517,,
7600,94429,YMOG,MOUNT MAGNET AERO,WA,OPEN,4/4/1995,,-28.1156,117.8425,407,408.5,411.2
8051,95403,GEAP,GERALDTON AIRPORT COMPARISON,WA,OPEN,24/6/1990,,-28.7953,114.6975,33,35,36.9
8290,94405,ABRO,NORTH ISLAND,WA,OPEN,17/5/1990,,-28.3008,113.5936,2.2,2.7,3.7
8296,94417,YMRW,MORAWA AIRPORT,WA,OPEN,25/2/1997,,-29.2039,116.0247,271.4,271.9,270.1
8297,95629,DALW,DALWALLINU,WA,OPEN,23/4/1997,,-30.2761,116.6714,324.5,325.5,
8314,,,GERALDTON PORT AUTHORITY BEACON NO 2,WA,OPEN,12/1/2009,,-28.7631,114.5647,10.236,9.6,
8315,94403,YGEL,GERALDTON AIRPORT,WA,OPEN,11/7/2011,,-28.8047,114.6989,29.7,30.2,36.9
9021,94610,YPPH,PERTH AIRPORT,WA,OPEN,20/6/1994,,-31.9275,115.9764,15.4,20,20.4
9037,94603,BADG,BADGINGARRA RESEARCH STN,WA,OPEN,22/4/1997,,-30.3381,115.5394,275,,
9053,94612,YPEA,PEARCE RAAF,WA,OPEN,25/6/1993,,-31.6669,116.0189,40,54,45.4
