"","territory_sa4","damstn_count"
"1","Central Coast",3
"2","Sydney - Baulkham Hills and Hawkesbury",NA
"3","Sydney - Blacktown",1
"4","Sydney - City and Inner South",NA
"5","Sydney - Eastern Suburbs",NA
"6","Sydney - Inner South West",NA
"7","Sydney - Inner West",NA
"8","Sydney - North Sydney and Hornsby",NA
"9","Sydney - Northern Beaches",NA
"10","Sydney - Outer South West",1
"11","Sydney - Outer West and Blue Mountains",12
"12","Sydney - Parramatta",NA
"13","Sydney - Ryde",NA
"14","Sydney - South West",NA
"15","Sydney - Sutherland",NA
"16","Capital Region",9
"17","New South Wales - Central West",5
"18","Coffs Harbour - Grafton",NA
"19","Far West and Orana",6
"20","Hunter Valley exc Newcastle",11
"21","Illawarra",10
"22","Mid North Coast",NA
"23","Murray",12
"24","New England and North West",13
"25","Newcastle and Lake Macquarie",NA
"26","Richmond - Tweed",1
"27","Riverina",16
"28","Southern Highlands and Shoalhaven",6
"29","Melbourne - Inner",NA
"30","Melbourne - Inner East",NA
"31","Melbourne - Inner South",NA
"32","Melbourne - North East",6
"33","Melbourne - North West",3
"34","Melbourne - Outer East",3
"35","Melbourne - South East",5
"36","Melbourne - West",3
"37","Mornington Peninsula",2
"38","Ballarat",24
"39","Bendigo",10
"40","Geelong",8
"41","Hume",14
"42","Latrobe - Gippsland",5
"43","Victoria - North West",13
"44","Shepparton",4
"45","Warrnambool and South West",8
"46","Brisbane - East",NA
"47","Brisbane - North",NA
"48","Brisbane - South",1
"49","Brisbane - West",2
"50","Brisbane Inner City",NA
"51","Ipswich",8
"52","Logan - Beaudesert",3
"53","Moreton Bay - North",1
"54","Moreton Bay - South",2
"55","Cairns",2
"56","Darling Downs - Maranoa",15
"57","Central Queensland",17
"58","Gold Coast",2
"59","Mackay - Isaac - Whitsunday",8
"60","Queensland - Outback",2
"61","Sunshine Coast",6
"62","Toowoomba",NA
"63","Townsville",6
"64","Wide Bay",21
"65","Adelaide - Central and Hills",7
"66","Adelaide - North",5
"67","Adelaide - South",3
"68","Adelaide - West",NA
"69","Barossa - Yorke - Mid North",5
"70","South Australia - Outback",2
"71","South Australia - South East",17
"72","Mandurah",NA
"73","Perth - Inner",NA
"74","Perth - North East",5
"75","Perth - North West",NA
"76","Perth - South East",16
"77","Perth - South West",NA
"78","Bunbury",36
"79","Western Australia - Outback (North and South)",14
"80","Western Australia - Wheat Belt",12
"81","Greater Hobart",35
"82","Launceston and North East",5
"83","Tasmania - South East",30
"84","Tasmania - West and North West",14
"85","Darwin",1
"86","Northern Territory - Outback",NA
"87","Australian Capital Territory",13
