"","territory_sa4","precp_stn_count"
"1","Central Coast",NA
"2","Sydney - Baulkham Hills and Hawkesbury",NA
"3","Sydney - Blacktown",NA
"4","Sydney - City and Inner South",NA
"5","Sydney - Eastern Suburbs",NA
"6","Sydney - Inner South West",NA
"7","Sydney - Inner West",NA
"8","Sydney - North Sydney and Hornsby",NA
"9","Sydney - Northern Beaches",NA
"10","Sydney - Outer South West",NA
"11","Sydney - Outer West and Blue Mountains",NA
"12","Sydney - Parramatta",NA
"13","Sydney - Ryde",NA
"14","Sydney - South West",NA
"15","Sydney - Sutherland",NA
"16","Capital Region",5
"17","New South Wales - Central West",9
"18","Coffs Harbour - Grafton",2
"19","Far West and Orana",10
"20","Hunter Valley exc Newcastle",3
"21","Illawarra",1
"22","Mid North Coast",3
"23","Murray",8
"24","New England and North West",10
"25","Newcastle and Lake Macquarie",NA
"26","Richmond - Tweed",1
"27","Riverina",3
"28","Southern Highlands and Shoalhaven",1
"29","Melbourne - Inner",NA
"30","Melbourne - Inner East",NA
"31","Melbourne - Inner South",NA
"32","Melbourne - North East",3
"33","Melbourne - North West",NA
"34","Melbourne - Outer East",NA
"35","Melbourne - South East",NA
"36","Melbourne - West",NA
"37","Mornington Peninsula",NA
"38","Ballarat",1
"39","Bendigo",1
"40","Geelong",3
"41","Hume",3
"42","Latrobe - Gippsland",2
"43","Victoria - North West",11
"44","Shepparton",1
"45","Warrnambool and South West",1
"46","Brisbane - East",NA
"47","Brisbane - North",NA
"48","Brisbane - South",NA
"49","Brisbane - West",NA
"50","Brisbane Inner City",NA
"51","Ipswich",1
"52","Logan - Beaudesert",1
"53","Moreton Bay - North",NA
"54","Moreton Bay - South",NA
"55","Cairns",3
"56","Darling Downs - Maranoa",12
"57","Central Queensland",2
"58","Gold Coast",NA
"59","Mackay - Isaac - Whitsunday",3
"60","Queensland - Outback",22
"61","Sunshine Coast",NA
"62","Toowoomba",2
"63","Townsville",5
"64","Wide Bay",5
"65","Adelaide - Central and Hills",NA
"66","Adelaide - North",NA
"67","Adelaide - South",1
"68","Adelaide - West",NA
"69","Barossa - Yorke - Mid North",8
"70","South Australia - Outback",33
"71","South Australia - South East",12
"72","Mandurah",NA
"73","Perth - Inner",NA
"74","Perth - North East",NA
"75","Perth - North West",NA
"76","Perth - South East",NA
"77","Perth - South West",NA
"78","Bunbury",3
"79","Western Australia - Outback (North and South)",48
"80","Western Australia - Wheat Belt",34
"81","Greater Hobart",2
"82","Launceston and North East",4
"83","Tasmania - South East",1
"84","Tasmania - West and North West",5
"85","Darwin",1
"86","Northern Territory - Outback",13
"87","Australian Capital Territory",NA
